Gelbe LED NT2
Differenzspannung: 1.6577 V, Strom: 4.5319 A
Differenzspannung: 1.6472 V, Strom: 7.5532 A
Differenzspannung: 1.6537 V, Strom: 4.7837 A
Differenzspannung: 1.6472 V, Strom: 4.5319 A
Differenzspannung: 1.6601 V, Strom: 4.5319 A
Differenzspannung: 1.6730 V, Strom: 4.5319 A
Differenzspannung: 1.6561 V, Strom: 7.3014 A
Differenzspannung: 1.6714 V, Strom: 3.5248 A
Differenzspannung: 1.6738 V, Strom: 4.7837 A
Differenzspannung: 1.6722 V, Strom: 4.7837 A
Differenzspannung: 1.7068 V, Strom: 4.7837 A
Differenzspannung: 1.7076 V, Strom: 4.2802 A
Differenzspannung: 1.7391 V, Strom: 3.2731 A
Differenzspannung: 1.7278 V, Strom: 4.7837 A
Differenzspannung: 1.7592 V, Strom: 5.0355 A
Differenzspannung: 1.7536 V, Strom: 4.5319 A
Differenzspannung: 1.7785 V, Strom: 7.3014 A
Differenzspannung: 1.7890 V, Strom: 4.5319 A
Differenzspannung: 1.8212 V, Strom: 4.5319 A
Differenzspannung: 1.8317 V, Strom: 5.0355 A
Differenzspannung: 1.8696 V, Strom: 2.5177 A
Differenzspannung: 1.8696 V, Strom: 5.2873 A
Differenzspannung: 1.8865 V, Strom: 5.7908 A
Differenzspannung: 1.9840 V, Strom: 10.3227 A
Differenzspannung: 1.9848 V, Strom: 12.5887 A
Differenzspannung: 2.1347 V, Strom: 29.2058 A
Differenzspannung: 2.1388 V, Strom: 28.9540 A
Differenzspannung: 2.3265 V, Strom: 84.8635 A
Differenzspannung: 2.3177 V, Strom: 87.1295 A
Differenzspannung: 2.2951 V, Strom: 88.6401 A
Differenzspannung: 2.2959 V, Strom: 88.8919 A
Differenzspannung: 2.2685 V, Strom: 111.0480 A
Differenzspannung: 2.2621 V, Strom: 111.2998 A
