Rote LED V2 NT2
Differenzspannung: 1.6585 V, Strom: 0.2220 A
Differenzspannung: 1.6408 V, Strom: 0.2220 A
Differenzspannung: 1.6609 V, Strom: 0.3042 A
Differenzspannung: 1.6472 V, Strom: 0.3124 A
Differenzspannung: 1.6528 V, Strom: 0.3288 A
Differenzspannung: 1.6609 V, Strom: 0.2795 A
Differenzspannung: 1.6545 V, Strom: 0.3124 A
Differenzspannung: 1.6520 V, Strom: 0.3124 A
Differenzspannung: 1.6561 V, Strom: 0.2877 A
Differenzspannung: 1.6537 V, Strom: 0.3124 A
Differenzspannung: 1.6440 V, Strom: 0.3946 A
Differenzspannung: 1.6601 V, Strom: 0.2960 A
Differenzspannung: 1.6577 V, Strom: 0.3535 A
Differenzspannung: 1.6617 V, Strom: 0.3371 A
Differenzspannung: 1.6786 V, Strom: 0.3453 A
Differenzspannung: 1.6673 V, Strom: 0.3700 A
Differenzspannung: 1.6778 V, Strom: 0.4604 A
Differenzspannung: 1.6899 V, Strom: 0.4193 A
Differenzspannung: 1.7044 V, Strom: 0.6001 A
Differenzspannung: 1.7036 V, Strom: 0.6001 A
Differenzspannung: 1.7189 V, Strom: 0.8303 A
Differenzspannung: 1.7302 V, Strom: 0.7235 A
Differenzspannung: 1.7334 V, Strom: 1.1263 A
Differenzspannung: 1.7294 V, Strom: 1.1181 A
Differenzspannung: 1.7657 V, Strom: 1.8169 A
Differenzspannung: 1.7592 V, Strom: 1.8662 A
Differenzspannung: 1.6778 V, Strom: 3.5027 A
Differenzspannung: 1.7729 V, Strom: 3.4205 A
Differenzspannung: 1.8140 V, Strom: 7.3184 A
Differenzspannung: 1.8108 V, Strom: 7.2608 A
Differenzspannung: 1.8342 V, Strom: 14.1435 A
Differenzspannung: 1.8228 V, Strom: 14.7360 A
Differenzspannung: 1.8349 V, Strom: 14.9497 A
Differenzspannung: 1.8535 V, Strom: 14.7606 A
